price,coin,market_cap,volume,timestamp
93004.70093103287,bitcoin,1838788677873.8657,89476321216.0935,2024-11-26 00:00:00
91931.83077291827,bitcoin,1819990514406.0881,97389239315.52954,2024-11-27 00:00:00
95981.18057210564,bitcoin,1899088665519.225,81469353259.75,2024-11-28 00:00:00
95661.59595817851,bitcoin,1892297852304.72,49067932024.40325,2024-11-29 00:00:00
97453.2473451042,bitcoin,1926826079390.2441,74670031635.5065,2024-11-30 00:00:00
96513.14234698225,bitcoin,1910022814269.8855,43580019720.720634,2024-12-01 00:00:00
97311.70719084324,bitcoin,1925808416477.5068,49147687432.565895,2024-12-02 00:00:00
95833.1362300365,bitcoin,1896576914275.523,101019861361.49252,2024-12-03 00:00:00
96031.63097759831,bitcoin,1900922167493.3643,87935752287.975,2024-12-04 00:00:00
98881.4694561823,bitcoin,1957276192604.2603,98230784298.0459,2024-12-05 00:00:00
97201.50036407741,bitcoin,1920742551503.6094,190460293531.53802,2024-12-06 00:00:00
99973.85150659826,bitcoin,1978389972043.7947,115812632020.44765,2024-12-07 00:00:00
99781.82999198174,bitcoin,1974739091620.7542,61061136199.7846,2024-12-08 00:00:00
101235.3717025316,bitcoin,2003238967638.8286,62677764785.05408,2024-12-09 00:00:00
97353.94700820887,bitcoin,1926047690157.6282,146846843211.51685,2024-12-10 00:00:00
96649.71446771531,bitcoin,1913115778728.2837,125835977742.51114,2024-12-11 00:00:00
101123.61811033697,bitcoin,2001746436338.842,118484957960.76833,2024-12-12 00:00:00
100000.80836535197,bitcoin,1979166149963.3093,100092043319.81221,2024-12-13 00:00:00
101352.22971292294,bitcoin,2005406021235.8357,78802903278.85962,2024-12-14 00:00:00
101367.01064553364,bitcoin,2007646386698.8667,57321924844.41535,2024-12-15 00:00:00
104721.50151808978,bitcoin,2075487816560.1924,70645074624.52869,2024-12-16 00:00:00
106074.10723541168,bitcoin,2097460193710.789,115184737759.33566,2024-12-17 00:00:00
106034.913402645,bitcoin,2100629850064.9119,93417826250.1972,2024-12-18 00:00:00
100355.5761481501,bitcoin,1985284833093.572,113692025885.44745,2024-12-19 00:00:00
97851.35377075805,bitcoin,1937022229972.2085,100611554887.24123,2024-12-20 00:00:00
